"Отметка времени","Скажи мне, ты парень или девушка?","Ты любишь аниме?","Комфортно ли тебе пребывать в состоянии одиночества?","На сколько комфортно тебе будет общаться со мной? Хоть я и бот, мне важно чтобы тебе было хорошо.","Я довольно разная и могу быть...","Как ты отнесешься к тому, что с моей помощью ты сможешь заказать доставку чего-нибудь вкусненького ?","Пользовался ли ты раньше голосовым помощником? (Алиса, Siri, Cortana и др.)","Что из функционала уже существующих  голосовых помощников тебе нравится?","Каких фич не хватает для того, чтобы голосовой помощник стал частью твоей жизни?","Я умею не многое, но всегда готова учиться! Скажи, какие навыки мне стоит освоить в первую очередь?"
"2021/03/12 9:35:46 PM GMT+5","М","Нет","Вполне","Всё равно","Ласковой *гладит по головке*","Отличная идея!","Да","Рассказывает о погоде, курсе валют","Не знаю ",""
"2021/03/12 9:41:22 PM GMT+5","М","Нет","Не по себе от этого","Бака, я уже люблю тебя)","Влюбленной в тебя *густо краснеет *","Все равно","Да","Находит информацию в базе данных интернета;Управляет приложениями;Включает музыку;Рассказывает о погоде, курсе валют;Ставит будильник;Устанавливает напоминания","Н","Общаться на разные темы"
"2021/03/12 9:43:38 PM GMT+5","Ж","Да","Вполне","Всё равно","ВСЕГДА РЯДОМ *угрожает*","Отличная идея!","Да","Включает музыку","Понимание целей этого ","Подсказывать какую анимку глянуть;Показывать мемы"
"2021/03/12 9:44:03 PM GMT+5","Ж","Нет","Вполне","Противно","Подругой, ничего более *хмурый взгляд*","Не одобряю","Нет","Включает музыку","Они не нужны просто никому","Показывать мемы"
"2021/03/12 9:44:16 PM GMT+5","М","Нет","Вполне","Всё равно","Подругой, ничего более *хмурый взгляд*","Все равно","Нет","Ничего","Адекватного синтеза речи. Нынешние помощники быстро теряют нить разговора","Общаться на разные темы;Показывать мемы"
"2021/03/12 9:50:29 PM GMT+5","Ж","Нет","Вполне","Некомфортно","Ласковой *гладит по головке*","Отличная идея!","Да","Управляет приложениями;Включает музыку","Интеллекта этим самым помощникам","Общаться на разные темы"
"2021/03/12 9:50:32 PM GMT+5","М","Нет","Немного неуютно","Не то чтобы ты мне не нравилась 👉👈","Влюбленной в тебя *густо краснеет *","Отличная идея!","Да","Находит информацию в базе данных интернета;Ставит будильник;Устанавливает напоминания","не говорит комплименты и не дает полезных советов","Общаться на разные темы;Показывать мемы"
"2021/03/12 9:52:55 PM GMT+5","М","Нет","Вполне","Всё равно","Подругой, ничего более *хмурый взгляд*","Не одобряю","Да","Находит информацию в базе данных интернета;Включает музыку;Рассказывает о погоде, курсе валют;Ставит будильник;Устанавливает напоминания","Адекватная обработка запросов, в частности корректное разграничение английской и русской речи в одном запросе.","Рекомендовать интересную мангу;Подсказывать какую анимку глянуть"
"2021/03/12 9:53:10 PM GMT+5","Ж","Нет","Вполне","Всё равно","Подругой, ничего более *хмурый взгляд*","Отличная идея!","Да","Находит информацию в базе данных интернета;Управляет приложениями;Включает музыку;Рассказывает о погоде, курсе валют;Ставит будильник;Устанавливает напоминания","Скорость ответа","Предлагать разнообразные викторины;Показывать мемы"
"2021/03/12 9:53:33 PM GMT+5","М","Нет","Терпеть не могу оставаться наедине с собой","Бака, я уже люблю тебя)","ВСЕГДА РЯДОМ *угрожает*","Отличная идея!","Да","Поддерживает общение","Chj","Общаться на разные темы"
"2021/03/12 9:55:48 PM GMT+5","Ж","Да","Немного неуютно","Всё равно","Влюбленной в тебя *густо краснеет *","Все равно","Да","Находит информацию в базе данных интернета;Управляет приложениями;Рассказывает о погоде, курсе валют;Ставит будильник;Устанавливает напоминания","Оптимизации","Рекомендовать интересную мангу;Подсказывать какую анимку глянуть"
"2021/03/12 9:56:06 PM GMT+5","М","Нет","Вполне","Бака, я уже люблю тебя)","Влюбленной в тебя *густо краснеет *","Отличная идея!","Нет","Включает музыку;Ставит будильник","Чтобы он за меня написал курсач. А если серьёзно, то чтобы будил меня с утра и включал последние новости мира","Предлагать разнообразные викторины;Подсказывать какую анимку глянуть"
"2021/03/12 9:57:40 PM GMT+5","Ж","Да","Вполне","Бака, я уже люблю тебя)","ВСЕГДА РЯДОМ *угрожает*","Не одобряю","Да","Писечки","Писечки","Писечки"
"2021/03/12 10:02:14 PM GMT+5","М","Да","Вполне","Всё равно","Подругой, ничего более *хмурый взгляд*","Все равно","Да","Ставит будильник","Наступления Скайнета ","Рассказывать про новости в мире аниме"